code;name;sitecode;lat;lon;start;stop;teff;lm;f;nta
AGUSA;Salvador Aguirre;23915;29.3194;-110.8228;2007-10-20 08:25:00;2007-10-20 09:25:00;1.0000;6.200;1.000;1
AGUSA;Salvador Aguirre;23915;29.3194;-110.8228;2007-10-20 09:26:00;2007-10-20 10:26:00;1.0000;6.200;1.000;0
AGUSA;Salvador Aguirre;23915;29.3194;-110.8228;2007-10-20 10:27:00;2007-10-20 11:28:00;1.0000;6.200;1.000;0
AGUSA;Salvador Aguirre;23915;29.3194;-110.8228;2007-10-20 11:29:00;2007-10-20 12:07:00;0.5000;6.200;1.000;1
AGUSA;Salvador Aguirre;61711;29.3194;-110.8228;2007-10-21 08:30:00;2007-10-21 09:30:00;1.0000;6.700;1.000;0
AGUSA;Salvador Aguirre;61711;29.3194;-110.8228;2007-10-21 09:31:00;2007-10-21 10:32:00;1.0000;6.700;1.000;0
AGUSA;Salvador Aguirre;61711;29.3194;-110.8228;2007-10-21 10:33:00;2007-10-21 11:34:00;1.0000;6.700;1.000;0
AGUSA;Salvador Aguirre;61711;29.3194;-110.8228;2007-10-21 11:35:00;2007-10-21 12:14:00;0.6000;6.700;1.000;0
AGUSA;Salvador Aguirre;78929;29.3194;-110.8228;2007-10-22 08:05:00;2007-10-22 09:05:00;1.0000;5.000;1.000;1
AGUSA;Salvador Aguirre;78929;29.3194;-110.8228;2007-10-22 09:06:00;2007-10-22 10:07:00;1.0000;5.800;1.000;1
AGUSA;Salvador Aguirre;78929;29.3194;-110.8228;2007-10-22 10:08:00;2007-10-22 11:10:00;1.0000;6.500;1.000;0
AGUSA;Salvador Aguirre;78929;29.3194;-110.8228;2007-10-22 11:11:00;2007-10-22 12:11:00;1.0000;6.500;1.000;0
AGUSA;Salvador Aguirre;527;29.2175;-110.7606;2007-11-03 05:37:00;2007-11-03 06:37:00;1.0000;6.000;1.000;0
AGUSA;Salvador Aguirre;527;29.2175;-110.7606;2007-11-03 08:25:00;2007-11-03 08:55:00;0.5000;6.000;1.000;0
AGUSA;Salvador Aguirre;86185;29.3194;-110.8228;2007-11-12 07:29:00;2007-11-12 08:44:00;1.0000;6.000;1.000;4
AGUSA;Salvador Aguirre;86185;29.3194;-110.8228;2007-11-12 08:44:00;2007-11-12 09:44:00;1.0000;6.000;1.000;3
AGUSA;Salvador Aguirre;74780;29.3194;-110.8228;2007-11-13 07:50:00;2007-11-13 11:52:00;4.0000;6.000;1.000;9
